epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
0,100,0,823,0,2e-06,3.83875,3.83875,0.69315,0.69315,1.8729,1.8729,18017.0,2
0,100,100,823,100,5.7e-05,1.43335,1.4387500000000002,0.385,0.54,0.6287,1.6542,18756.0,2
0,100,200,823,200,0.000112,1.4464,1.4398499999999999,0.36415,0.4524,0.1579,0.9775,18756.0,2
0,100,300,823,300,0.000167,1.4499,1.4427,0.33999999999999997,0.41800000000000004,0.1574,0.7196,18756.0,2
0,100,400,823,400,0.000222,1.44935,1.4447,0.33975,0.4,0.3085,0.5945,18756.0,2
0,100,500,823,500,0.000277,1.4521,1.4459,0.34525,0.3886,0.1788,0.5206,18756.0,2
0,100,600,823,600,0.000332,1.4507,1.4468,0.3332,0.38095,0.1802,0.4741,18756.0,2
0,100,700,823,700,0.000387,1.45025,1.4475,0.33485,0.37539999999999996,0.2425,0.4371,18756.0,2
0,100,800,823,800,0.000442,1.452,1.44795,0.34299999999999997,0.37129999999999996,0.2087,0.4105,18756.0,2
1,100,0,823,823,0.000455,1.89745,1.89745,0.34240000000000004,0.34240000000000004,0.1982,0.1982,18756.0,2
1,100,100,823,923,0.00051,1.4522499999999998,1.4549500000000002,0.33405,0.3417,0.2144,0.2269,18757.0,2
1,100,200,823,1023,0.000565,1.4506000000000001,1.4534,0.33735000000000004,0.3426,0.1213,0.2267,18757.0,2
1,100,300,823,1123,0.00062,1.45065,1.4527,0.35175,0.3429,0.2916,0.2319,18757.0,2
1,100,400,823,1223,0.000675,1.4511500000000002,1.4522,0.34204999999999997,0.34395,0.6664,0.2388,18757.0,2
1,100,500,823,1323,0.00073,1.44915,1.4518,0.34775,0.3448,0.2875,0.2478,18757.0,2
1,100,600,823,1423,0.000785,1.45,1.4515,0.35014999999999996,0.345,0.2301,0.2594,18757.0,2
1,100,700,823,1523,0.00084,1.4506000000000001,1.4513,0.3577,0.34525,0.1521,0.2602,18757.0,2
1,100,800,823,1623,0.000895,1.4515500000000001,1.4514,0.35185,0.34565,0.3873,0.2608,18757.0,2
2,100,0,823,1646,0.000908,1.912,1.912,0.3519,0.3519,0.2019,0.2019,18757.0,2
2,100,100,823,1746,0.000963,1.44985,1.4542,0.3527,0.3524,0.3603,0.352,18757.0,2
2,100,200,823,1846,0.001018,1.4477,1.4516,0.34735,0.3499,0.2616,0.3187,18757.0,2
2,100,300,823,1946,0.001073,1.4488,1.4505,0.36014999999999997,0.35,5.0922,0.3721,18757.0,2
2,100,400,823,2046,0.001128,1.449,1.4506,0.34604999999999997,0.351,0.4348,0.447,18757.0,2
2,100,500,823,2146,0.001183,1.4497,1.4504,0.34235000000000004,0.35145000000000004,0.1671,0.4575,18757.0,2
2,100,600,823,2246,0.001238,1.4463499999999998,1.45,0.34540000000000004,0.35175,0.3089,0.4293,18757.0,2
2,100,700,823,2346,0.001293,1.4467,1.44965,0.351,0.35240000000000005,0.1462,0.4435,18757.0,2
2,100,800,823,2446,0.001348,1.4461,1.4492,0.3664,0.35295,0.3138,0.4202,18757.0,2
3,100,0,823,2469,0.001361,1.94235,1.94235,0.35505,0.35505,0.2013,0.2013,18757.0,2
3,100,100,823,2569,0.001416,1.449,1.4509,0.35719999999999996,0.35435,0.2669,0.3233,18757.0,2
3,100,200,823,2669,0.001471,1.4429,1.4484499999999998,0.3486,0.35385,0.1581,0.2945,18757.0,2
3,100,300,823,2769,0.001526,1.4404,1.4461,0.3502,0.3543,0.1421,0.2678,18757.0,2
3,100,400,823,2869,0.001581,1.43975,1.4446,0.35675,0.354,0.2466,0.2709,18757.0,2
3,100,500,823,2969,0.001636,1.4416,1.4439,0.35405,0.35435000000000005,0.212,0.2807,18757.0,2
3,100,600,823,3069,0.001691,1.4387,1.4434,0.3552,0.35445000000000004,0.2587,0.2638,18757.0,2
3,100,700,823,3169,0.001746,1.4433500000000001,1.4432,0.33430000000000004,0.35440000000000005,0.169,0.2671,18757.0,2
3,100,800,823,3269,0.001801,1.44165,1.4431,0.34950000000000003,0.3544,0.1304,0.2588,18757.0,2
4,100,0,823,3292,0.001814,1.94045,1.94045,0.34085,0.34085,0.1492,0.1492,18757.0,2
4,100,100,823,3392,0.001869,1.4415499999999999,1.4471,0.353,0.35319999999999996,0.2356,0.3806,18757.0,2
4,100,200,823,3492,0.001924,1.44265,1.4444,0.37039999999999995,0.35235000000000005,0.2027,0.2897,18757.0,2
