epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
0,100,0,823,0,4e-06,4.28725,4.28725,0.9457,0.9457,3.3136,3.3136,18411.0,2
0,100,100,823,100,1.2e-05,1.4517,1.4652,0.84345,0.84215,0.0411,0.2174,18670.0,2
0,100,200,823,200,2.1e-05,1.4551,1.4594,0.8378,0.8405,0.0673,0.1452,18670.0,2
0,100,300,823,300,3e-05,1.4553,1.4582,0.8464,0.8397,0.0938,0.1215,18670.0,2
0,100,400,823,400,3.9e-05,1.4541,1.4575,0.83935,0.8396,0.0165,0.1304,18670.0,2
0,100,500,823,500,4.7e-05,1.4553,1.457,0.8384499999999999,0.8392,0.0719,0.1093,18670.0,2
0,100,600,823,600,5.6e-05,1.4584,1.4568,0.73295,0.8381,0.9327,0.1241,18670.0,2
0,100,700,823,700,6.5e-05,1.4592,1.4569,0.5154000000000001,0.8018,0.283,0.1536,18670.0,2
0,100,800,823,800,7.4e-05,1.4568,1.457,0.42805000000000004,0.75895,0.5444,0.2014,18670.0,2
1,100,0,823,823,7.6e-05,2.568,2.568,0.41069999999999995,0.41069999999999995,0.5886,0.5886,18670.0,2
1,100,100,823,923,8.5e-05,1.458,1.4683,0.39690000000000003,0.39635,0.5439,0.5721,18670.0,2
1,100,200,823,1023,9.3e-05,1.4592,1.46345,0.37775000000000003,0.3897,0.6225,0.5629,18670.0,2
1,100,300,823,1123,0.000102,1.4575,1.4617499999999999,0.8523000000000001,0.40375,0.4363,0.7057,18670.0,2
1,100,400,823,1223,0.000111,1.4602,1.46075,0.41500000000000004,0.45345,0.4277,0.677,18670.0,2
1,100,500,823,1323,0.00012,1.4603,1.46045,0.392,0.44215,0.2719,0.6043,18670.0,2
1,100,600,823,1423,0.000128,1.4586,1.4603000000000002,0.38060000000000005,0.4325,0.4644,0.5575,18670.0,2
1,100,700,823,1523,0.000137,1.4592,1.46,0.3811,0.42475,0.3506,0.5293,18670.0,2
1,100,800,823,1623,0.000146,1.45945,1.45975,0.37305,0.41835,0.4647,0.5126,18670.0,2
2,100,0,823,1646,0.000148,2.0134999999999996,2.0134999999999996,0.3701,0.3701,0.4543,0.4543,18670.0,2
2,100,100,823,1746,0.000157,1.4577,1.4634,0.36885,0.37024999999999997,0.4493,0.4199,18670.0,2
2,100,200,823,1846,0.000165,1.4597,1.4605,0.36419999999999997,0.3687,0.5753,0.4333,18670.0,2
2,100,300,823,1946,0.000174,1.45735,1.4597,0.36125,0.36750000000000005,0.6453,0.4374,18670.0,2
2,100,400,823,2046,0.000183,1.4591,1.4593,0.36885,0.36615,0.363,0.4331,18670.0,2
2,100,500,823,2146,0.000192,1.4578,1.4591,0.35245,0.3653,0.3822,0.4372,18670.0,2
