epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb
0,100,0,823,0,4e-06,4.2883,4.2883,0.9478,0.9478,3.3136,3.3136,18411
0,100,100,823,100,1.2e-05,1.4517,1.4652,0.8463,0.8419,0.0411,0.2174,18670
0,100,200,823,200,2.1e-05,1.4551,1.4594,0.842,0.8403,0.0673,0.1452,18670
0,100,300,823,300,3e-05,1.4553,1.4582,0.8373,0.8395,0.0938,0.1215,18670
0,100,400,823,400,3.9e-05,1.4541,1.4575,0.8401,0.8394,0.0165,0.1304,18670
0,100,500,823,500,4.7e-05,1.4553,1.457,0.8388,0.839,0.0719,0.1093,18670
0,100,600,823,600,5.6e-05,1.4584,1.4568,0.7334,0.838,0.9327,0.1241,18670
0,100,700,823,700,6.5e-05,1.4592,1.4569,0.5188,0.8017,0.283,0.1536,18670
0,100,800,823,800,7.4e-05,1.4568,1.457,0.4299,0.7589,0.5444,0.2014,18670
1,100,0,823,823,7.6e-05,1.9531,1.9531,0.4099,0.4099,0.5886,0.5886,18670
1,100,100,823,923,8.5e-05,1.458,1.4622,0.3953,0.3964,0.5439,0.5721,18670
1,100,200,823,1023,9.3e-05,1.4592,1.4604,0.3689,0.3896,0.6225,0.5629,18670
1,100,300,823,1123,0.000102,1.4575,1.4597,0.859,0.4036,0.4363,0.7057,18670
1,100,400,823,1223,0.000111,1.4602,1.4592,0.4228,0.4534,0.4277,0.677,18670
1,100,500,823,1323,0.00012,1.4603,1.4592,0.3897,0.4422,0.2719,0.6043,18670
1,100,600,823,1423,0.000128,1.4586,1.4593,0.3778,0.4326,0.4644,0.5575,18670
1,100,700,823,1523,0.000137,1.4592,1.4591,0.3894,0.4248,0.3506,0.5293,18670
1,100,800,823,1623,0.000146,1.4594,1.459,0.3671,0.4184,0.4647,0.5126,18670
2,100,0,823,1646,0.000148,2.013,2.013,0.36,0.36,0.4543,0.4543,18670
2,100,100,823,1746,0.000157,1.4577,1.4634,0.3645,0.3698,0.4493,0.4199,18670
2,100,200,823,1846,0.000165,1.4597,1.4605,0.3631,0.3684,0.5753,0.4333,18670
2,100,300,823,1946,0.000174,1.4573,1.4597,0.3618,0.3673,0.6453,0.4374,18670
2,100,400,823,2046,0.000183,1.4591,1.4593,0.3769,0.3662,0.363,0.4331,18670
2,100,500,823,2146,0.000192,1.4578,1.4591,0.3586,0.3653,0.3822,0.4372,18670
2,100,600,823,2246,0.0002,1.4587,1.4589,0.3587,0.3642,0.5362,0.4384,18670
2,100,700,823,2346,0.000209,1.4585,1.4589,0.3597,0.3633,0.4115,0.4375,18670
2,100,800,823,2446,0.000218,1.4581,1.4588,0.3529,0.3628,0.3591,0.4382,18670
3,100,0,823,2469,0.00022,2.0219,2.0219,0.3534,0.3534,0.3252,0.3252,18670
3,100,100,823,2569,0.000229,1.4601,1.4643,0.3596,0.3557,0.4576,0.3985,18670
3,100,200,823,2669,0.000238,1.4603,1.4621,0.3579,0.3549,0.4381,0.4193,18670
3,100,300,823,2769,0.000246,1.4605,1.4618,0.355,0.3547,0.5036,0.4116,18670
3,100,400,823,2869,0.000255,1.4579,1.4612,0.3575,0.3545,0.26,0.4142,18670
3,100,500,823,2969,0.000264,1.4597,1.4608,0.3485,0.3538,0.4169,0.4138,18670
3,100,600,823,3069,0.000273,1.4604,1.4606,0.3542,0.3533,0.3324,0.4125,18670
3,100,700,823,3169,0.000281,1.4593,1.4605,0.3504,0.3529,0.4286,0.4103,18670
3,100,800,823,3269,0.00029,1.4592,1.4603,0.3599,0.3524,0.4206,0.4081,18670
4,100,0,823,3292,0.000292,2.0431,2.0431,0.3518,0.3518,0.388,0.388,18670
4,100,100,823,3392,0.000301,1.4554,1.464,0.8331,0.5019,0.0618,0.5369,18670
4,100,200,823,3492,0.00031,1.4563,1.4599,0.8447,0.6699,0.0274,0.2843,18670
4,100,300,823,3592,0.000318,1.457,1.4588,0.8336,0.7263,0.0541,0.1989,18670
4,100,400,823,3692,0.000327,1.4561,1.4581,0.8293,0.7541,0.0495,0.158,18670
4,100,500,823,3792,0.000336,1.4552,1.4577,0.8375,0.7712,0.0271,0.1351,18670
4,100,600,823,3892,0.000345,1.4557,1.4574,0.8378,0.7824,0.0185,0.1199,18670
4,100,700,823,3992,0.000354,1.4556,1.4571,0.845,0.7904,0.0338,0.1088,18670
4,100,800,823,4092,0.000362,1.4578,1.4572,0.8329,0.7962,0.0461,0.1013,18670
5,100,0,823,4115,0.000364,1.9843,1.9843,0.8349,0.8349,0.0475,0.0475,18670
5,100,100,823,4215,0.000373,1.4588,1.4631,0.8283,0.8376,0.1132,0.0414,18670
5,100,200,823,4315,0.000382,1.4574,1.4604,0.8426,0.8382,0.0848,0.0454,18670
5,100,300,823,4415,0.000391,1.4567,1.4594,0.8463,0.838,0.0461,0.0449,18670
5,100,400,823,4515,0.000399,1.4573,1.4588,0.8412,0.8379,0.0338,0.047,18670
5,100,500,823,4615,0.000408,1.4587,1.4585,0.8371,0.8378,0.0356,0.0461,18670
5,100,600,823,4715,0.000417,1.4557,1.4583,0.843,0.8377,0.0936,0.0483,18670
5,100,700,823,4815,0.000426,1.4572,1.458,0.8323,0.8376,0.1039,0.0503,18670
5,100,800,823,4915,0.000434,1.4557,1.4578,0.8469,0.8379,0.0116,0.056,18670
6,100,0,823,4938,0.000436,1.9411,1.9411,0.8369,0.8369,0.0201,0.0201,18670
6,100,100,823,5038,0.000445,1.4556,1.4599,0.8568,0.8401,0.2016,0.0736,18670
6,100,200,823,5138,0.000454,1.4553,1.4578,0.8424,0.8402,0.0137,0.0646,18670
6,100,300,823,5238,0.000463,1.4564,1.4572,0.8371,0.8401,0.0409,0.0509,18670
6,100,400,823,5338,0.000472,1.4558,1.457,0.8334,0.8398,0.0148,0.044,18670
6,100,500,823,5438,0.00048,1.4569,1.4569,0.8368,0.8395,0.023,0.0405,18670
6,100,600,823,5538,0.000489,1.4579,1.457,0.8333,0.8394,0.0618,0.0401,18670
6,100,700,823,5638,0.000498,1.4575,1.4569,0.8385,0.8393,0.0392,0.0393,18670
6,100,800,823,5738,0.000507,1.4601,1.4572,0.8451,0.8393,0.0592,0.0412,18670
7,100,0,823,5761,0.000509,2.0739,2.0739,0.842,0.842,0.1351,0.1351,18670
7,100,100,823,5861,0.000517,1.4582,1.4644,0.8423,0.8392,0.0275,0.0522,18670
7,100,200,823,5961,0.000526,1.4569,1.4609,0.8456,0.8395,0.8022,0.1288,18670
7,100,300,823,6061,0.000535,1.4556,1.4595,0.8345,0.8392,0.0181,0.0976,18670
7,100,400,823,6161,0.000544,1.4551,1.4586,0.8431,0.8393,0.0213,0.0811,18670
7,100,500,823,6261,0.000552,1.4563,1.458,0.8436,0.8391,0.0145,0.0707,18670
7,100,600,823,6361,0.000561,1.4575,1.4577,0.841,0.8392,0.0425,0.0633,18670
7,100,700,823,6461,0.00057,1.4565,1.4575,0.8342,0.8393,0.012,0.0596,18670
7,100,800,823,6561,0.000579,1.4562,1.4573,0.8422,0.8391,0.033,0.0583,18670
8,100,0,823,6584,0.000581,1.9975,1.9975,0.8334,0.8334,0.0409,0.0409,18670
8,100,100,823,6684,0.000589,1.4567,1.462,0.8353,0.8383,0.0133,0.0396,18670
8,100,200,823,6784,0.000598,1.4574,1.4598,0.8353,0.8388,0.0235,0.0396,18670
8,100,300,823,6884,0.000607,1.4574,1.459,0.8454,0.8384,2.9559,0.0618,18670
8,100,400,823,6984,0.000616,1.4574,1.4587,0.8346,0.8384,0.041,0.097,18670
8,100,500,823,7084,0.000625,1.4575,1.4584,0.8451,0.8384,0.1235,0.0882,18670
8,100,600,823,7184,0.000633,1.4569,1.4581,0.8469,0.8382,0.0541,0.0867,18670
8,100,700,823,7284,0.000642,1.4581,1.4579,0.849,0.8376,1403.8081,3.3416,18670
8,100,800,823,7384,0.000651,1.4591,1.4578,0.8455,0.838,0.0203,3.1775,18670
